code,libelle,type_officiel,region,adresse
060455,CENTRE NATIONAL DE RECHERCHE ET DE SOINS AUX DREPANOCYTAIRES (CNRSD),CHU,GRAND LOMÉ,"Enceinte du CHU CAMPUS,"
060456,INFIRMERIE DE L'ODEF,USP type I,GRAND LOMÉ,"20, rue des Evala, Agbalépedogan Dr AKOLLY Etsri, Médecin Généraliste, Médecin du Travail"
060457,CLINIQUE LA REFERENCE,CHU,GRAND LOMÉ,"Dr DJAGADOU Kodjo Agbéko, Médecin Interniste 81 rue, AFLAO- GAKLI (Djidjolé)"
060458,CABINET MEDICAL ORIENT,CHU,GRAND LOMÉ,"Dr AMEGANDJI Kokou Djinedjo, Médecin Généraliste, Responsable du cabinet Qtier Bè, 673 rue des lin"
060459,CMS ADETIKOPE,USP type II,GRAND LOMÉ,"ADETIKOPE, quartier Adétikopé centre"
060461,CLINIQUE DES ELFES,CHU,GRAND LOMÉ,"Dr BOUKARI Abdoul Gafarou, Gynécologue-Obstétricien, Directeur de la clinique Agoè-Nyivé, réserve de la gendarmerie"
060462,HOPITAL PANAFRICAIN LES MARRONS,CHU,GRAND LOMÉ,"Quartier Adidogomè-Atigangomè, non loin de l'église catholique ; Dr APETI Komlan Zantou, Médecin Généraliste, Titulaire et Responsable de la clinique"
060463,PHARMACIE ZONGO,PHARMACIE,GRAND LOMÉ,"Dr PERE Aklesso, Pharmacien Togblékopé, route nationale N°1, à environ 100m de l'agence ORABANK"
060464,CLINIQUE «LA CITADELLE »,CHR,GRAND LOMÉ,"Dr AZIALEY Kwami Gagnon, Médecin Généraliste Agoè Vakpossito à environ 5 km de l'USP Agoè Elavagnon"
060465,CLINIQUE LAMESE,CHU,GRAND LOMÉ,"Dr TEKO Dédé Virginie, Médecin Généraliste, Responsable de la clinique Bè-Kpota Anfamè, non loin de l'hôpital du district, LOME"
060466,PHARMACIE A DIEU LA GLOIRE,PHARMACIE,GRAND LOMÉ,"Quartier Agoè-Légbassito, au bord de la nouvelle route CEDEAO entre la Poste et le marché de Légbassito Dr KAMASSAN Amè Elom, Docteur d'Etat en Pharmacie, Responsable de la pharmacie"
060467,CLINIQUE SAINTE CECILE,CHR,GRAND LOMÉ,"Dr EDI Kodzo Sélom, Médecin Généraliste, Adidogomè Awatamé, à environ 1 km du CMS Adidogomè"
060468,CLINIQUE SAINT PAUL LA REFERENCE,CHU,GRAND LOMÉ,AGOE-LOGOPE
060469,CABINET DENTAIRE LA COURONNE,CHU,GRAND LOMÉ,"Dr GABA Ayélé Zizi Djidjom, Chirurgien-Dentiste 214, angle rue Hiéhatro / Sacré-Coeur, Quartier Collège St Joseph, près de l'Hôtel St Manick"
060470,HOPITAL SAINTE JOSEPHINE BAKHITA,CHR,GRAND LOMÉ,"Agoè-Kové, route de Mission-Tové après le CAMP-FIR"
060471,PHARMACIE GANFAT,PHARMACIE,GRAND LOMÉ,"Agoè Daliko, près du carrefour EDEM (CAMP GP) Dr GBANDI Labodja, Docteur d'Etat en Pharmacie, Responsable de la pharmacie"
060472,PHARMACIE LA BARAKA,PHARMACIE,GRAND LOMÉ,"Agoè-Logopé, à 100 m du camp Gendarmerie et de Police, non loin de l'Ecole privée LA BRUYERE Dr BAGBIEGUE Sahadatou, Docteur d'Etat en pharmacie, Titulaire de la pharmacie"
060473,CABINET MEDICAL DE CARDIOLOGIE «CARDIO COEUR VAILLANT»,CHU,GRAND LOMÉ,"Rue Pizzeria, Avépozo, Ibomonou Dr ALOUMON Messanvi, Médecin Cardiologue, Responsable du Cabinet"
060474,CLINIQUE DE L'OCEAN,CHU,GRAND LOMÉ,"Lomé, Agoè Anomè, près du carrefour 2 lions Dr MENSAH Akovi Ephrem, Médecin Généraliste, Responsable de la clinique"
060475,CENTRE REGIONAL DE DIAGNOSTIC MEDICAL,CHU,GRAND LOMÉ,"DOCTEUR D'ALMEIDA AYIGA, Immeuble la Découverte, 27 Bis Avenue de Calais, Lomé"
